	N120	N123	N124	N126	N130	N131	N137	N138	N140	N141	N142	N144	N145	N146	N148	N149	N150	N151	N153	N154	N156	N157	N158	N160	N161	N162	N163	N165	N166	N169	N170	N171	N172	N175	N176	N177	N178	N179	N180	N181	N182	N183	N185	N186	N187	N188	N189	N190	N192	N197	N200	N201	N202	N203	N204	N205	N208	N209	N210	N211	N212	N214	N215	N216	N219	N220	N221	N222	N223	N224	N226	N228	N229	N230	N232	N233	N237	N238	N239	N240	N242	N244	N245	N246	N248	N250	N251	N252	N254	N255	N257	N261	N262	N263	N264	N265	N267	N268	N270
CCL16	9.27531207	9.940548767	5.577474185	8.52526155	9.465644234	8.237952953	8.742743093	8.109181684	5.815247227	7.24508	9.32269	9.129076139	7.825270848	9.658106176	11.10915869	7.696665195	6.153216476	9.81842957	6.694888377	7.28279	7.782539649	8.75463	7.890923689	6.849778852	8.846851684	6.82324619	7.996934107	7.905398934	5.810507379	7.198873689	8.129666999	8.204638767	7.691326266	5.08996	8.632581268	8.566908767	6.065743093	7.741237499	8.131375195	6.72095	6.842793754	7.73621	8.760378688	7.529776476	8.025940581	8.958860581	8.300576139	4.063107227	7.55015155	7.340405663	6.643000672	8.029581905	7.628810848	8.894807338	7.570220593	7.85799	8.79615	7.655583348	7.990452759	8.923126176	8.068507379	6.45707207	7.132750581	6.689958934	7.797556346	7.94712314	8.160747379	6.748936476	6.068340848	7.67326147	8.263161733	8.016347227	6.663623093	7.729455735	7.95145147	9.292873349	8.203643754	9.650146176	8.252761905	6.614555663	6.360506999	7.48583	7.66936147	7.873895254	7.530161268	7.881863689	7.351900672	6.5306	4.493275254	8.808691503	9.045661268	8.634268852	4.79244	9.284377338	8.345645663	8.827778688	6.718956472	8.735798852	7.345857338
CTSF	1.53871207	2.596678767	0.796784185	1.62926155	0.720994234	1.531412953	1.881113093	0.787111684	0.792947227	1.58504	0.82288	1.157166139	0.973050848	2.568476176	5.110028688	0.642175195	1.016046476	3.40130957	0.547938377	1.54054	2.489619649	1.7404	1.333193689	1.174668852	0.441301684	2.02047619	-0.167975893	1.197698934	0.0	1.281723689	0.810786999	1.740208767	0.402856266	0.15307	1.580341268	1.410558767	0.375743093	0.829757499	1.435825195	0.65437	1.030813754	1.06992	3.757128688	0.0	0.763010581	0.513730581	1.651286139	0.090257227	1.10533155	0.411435663	1.023910672	1.817861905	0.252870848	1.481967338	-0.123979407	0.0	0.29507	0.0	1.089342759	1.055276176	1.783157379	0.78976207	0.346940581	0.0	0.0	-0.02813686	1.586677379	0.282616476	0.449870848	0.71355147	0.962021733	1.439357227	0.827723093	2.175565735	0.82858147	2.323953349	2.230923754	0.519326176	2.068601905	1.160675663	0.533326999	1.03083	0.94426147	1.876195254	0.430061268	0.891163689	0.216120672	0.55125	1.164215254	2.722421503	1.700171268	0.780098852	2.2285	2.906557338	2.657525663	4.233338688	0.198216472	0.855588852	1.677707338
MATN2	8.14738207	9.269278767	8.019414185	8.17493155	5.612004234	8.684292953	7.750313093	7.738631684	6.951047227	8.78803	6.48973	8.081836139	7.931430848	9.955636176	10.91194869	6.220455195	8.610366476	10.21557957	6.740468377	9.13463	7.646189649	9.09572	8.612893689	8.069768852	6.859391684	7.29807619	6.072464107	8.493018934	4.217907379	9.228313689	6.644596999	8.055068767	4.946986266	5.16159	8.629711268	7.957438767	7.400393093	6.589377499	6.001635195	6.91377	6.369093754	8.04697	8.695268688	2.284016476	6.648050581	5.580050581	5.817096139	4.293607227	8.41821155	9.138325663	7.623040672	7.162771905	6.239130848	8.592127338	7.520680593	5.55478	6.09753	7.948713348	8.095512759	8.580786176	8.623777379	8.25194207	7.855840581	4.420958934	7.105116346	6.28096314	8.313137379	6.692316476	6.303740848	8.14423147	8.270321733	7.880607227	7.499813093	10.07600574	6.86251147	9.748483349	7.264143754	6.920606176	7.611401905	8.017675663	8.009536999	8.57598	5.98662147	8.285055254	8.312351268	7.013153689	4.758740672	3.23332	9.351495254	7.596911503	7.780461268	5.364658852	6.74899	8.314987338	9.399545663	9.617758688	7.120556472	8.002948852	7.478447338
HTRA2	4.90233207	6.510068767	4.766814185	5.10364155	2.008214234	5.889732953	5.628853093	4.078961684	5.475937227	5.13607	2.48101	5.621606139	4.532800848	5.849996176	8.802338688	2.419925195	4.146196476	6.60009957	4.721128377	4.97846	5.310579649	5.14392	5.267703689	3.408218852	4.487961684	5.33706619	2.132174107	6.079118934	1.018447379	4.898133689	4.197466999	4.957718767	4.030126266	1.89635	4.545491268	5.616178767	4.698263093	3.018727499	3.405985195	3.11946	4.301783754	4.12322	6.976188688	1.155216476	4.542010581	4.296480581	5.723076139	0.939567227	5.07232155	4.413885663	5.787350672	5.906291905	2.535400848	6.234967338	4.367570593	3.59741	4.31338	3.966103348	5.982982759	5.780496176	5.437187379	5.67408207	5.204190581	1.820558934	4.038426346	3.63640314	3.568117379	4.069536476	2.676230848	3.59764147	5.157321733	4.026827227	4.494123093	5.209965735	3.71273147	5.777683349	5.840553754	4.003536176	5.775631905	4.691345663	4.329016999	4.1558	5.76019147	4.776825254	4.976041268	4.907593689	3.371870672	2.20656	3.221265254	6.189791503	5.143051268	3.264708852	4.15321	6.691607338	6.279335663	7.422918688	3.380226472	5.157888852	5.764227338
MFGE8	11.79123207	11.14909877	11.19269419	10.97820155	10.04827423	10.26224295	10.69650309	10.20335168	10.45895723	11.07871	11.01956	10.83004614	10.96334085	11.84783618	13.03115869	10.67382519	11.69255648	10.97805957	9.427408377	11.0299	10.66241965	10.81742	10.68119369	11.66680885	10.77515168	8.99364619	10.10930411	9.744658934	10.06984738	12.05350369	9.511606999	11.06825877	8.794046266	10.92841	10.66964127	11.23094877	9.337353093	10.8915075	10.35044519	10.97962	9.347503754	11.01163	10.26399869	10.64576648	10.96644058	9.259230581	9.856356139	10.23119723	10.77576155	10.96199566	10.65475067	9.367301905	10.14452085	11.10335734	10.20800059	11.17459	10.87491	11.30895335	10.76274276	10.80154618	11.31247738	10.94894207	11.01761058	10.09895893	11.18927635	10.41324314	10.89389738	10.80363648	9.741280848	10.66026147	11.63056173	10.22573723	11.06382309	10.42437574	10.16074147	11.62465335	9.685373754	10.04304618	9.531311905	10.51165566	10.290277	10.71725	8.32828147	11.35535525	9.957641268	10.30478369	7.639390672	9.64389	11.16315525	9.461541503	10.44876127	10.01468885	10.87591	10.79114734	10.19100566	10.52666869	10.39299647	10.26174885	10.76692734
NUDT5	3.83438207	6.642278767	2.914894185	5.66923155	3.323584234	6.278652953	5.201223093	4.184741684	5.205727227	5.06559	4.96036	6.322796139	4.654310848	5.704666176	9.130438688	3.986325195	1.510816476	6.56353957	5.605668377	4.33112	5.421509649	5.62319	6.228043689	3.196308852	5.308121684	5.64013619	4.903604107	6.030358934	2.479767379	4.155053689	5.244876999	5.616268767	5.803636266	3.98985	4.612911268	6.846318767	4.275153093	3.407167499	5.067825195	3.28434	4.826263754	4.99579	7.833488688	4.387866476	4.651120581	4.343960581	5.566266139	1.239337227	4.53576155	4.282495663	4.492630672	4.619281905	4.511480848	6.073557338	4.948680593	2.98174	4.11915	2.810093348	6.063972759	5.792106176	4.111267379	4.87667207	4.386030581	4.181768934	5.197376346	4.44339314	4.109607379	2.943536476	5.450520848	4.96122147	3.676301733	4.734467227	3.805973093	5.320315735	4.37412147	5.292863349	5.571193754	1.870226176	6.269101905	2.612145663	0.473706999	3.83788	4.49532147	3.406645254	3.837691268	4.698593689	2.848380672	5.16118	0.817235254	6.369711503	5.050501268	4.420638852	2.18815	7.161077338	6.397715663	8.171078688	2.998456472	5.394638852	5.043927338
ACAN	6.37883207	5.966848767	4.311214185	3.96895155	4.381814234	4.238352953	4.451313093	5.885061684	4.102557227	3.72229	5.49547	4.491016139	6.108170848	5.935166176	7.595668688	5.991835195	5.247456476	5.70821957	4.948168377	3.81244	3.844239649	5.65724	4.790733689	5.793698852	6.134271684	3.68879619	6.370134107	4.748078934	3.348307379	5.188303689	5.040026999	6.690078767	4.893686266	5.02727	4.914931268	4.562128767	3.874063093	5.877377499	5.778205195	5.32378	5.524113754	5.81406	4.529968688	5.021646476	6.012720581	3.016900581	4.578836139	3.309467227	6.31660155	5.350735663	6.511060672	4.333171905	5.495960848	6.067917338	3.921830593	3.58822	5.59494	5.451973348	2.764922759	5.718816176	5.077727379	4.05212207	5.371040581	3.947868934	5.397416346	5.20241314	4.351567379	4.450766476	5.034200848	5.71749147	6.568291733	5.949147227	5.874573093	4.467625735	5.46546147	5.601183349	4.539713754	4.576156176	4.402711905	4.895775663	5.607646999	5.68435	2.67284147	4.905145254	4.147951268	5.551203689	1.646410672	5.29494	4.959955254	3.889671503	6.222351268	3.433368852	3.84402	5.798047338	5.959395663	4.620718688	4.644456472	5.198568852	4.546667338
ITGB1	7.01689207	7.824178767	6.688634185	6.74646155	4.850964234	6.732702953	5.687533093	6.042841684	6.672437227	6.68284	6.43269	6.965946139	6.986160848	7.464706176	8.568118688	5.873245195	6.133116476	7.34435957	6.307088377	6.85764	6.255789649	6.74979	6.671203689	6.285118852	6.936611684	7.58122619	6.022914107	7.197968934	4.262867379	7.119113689	5.855936999	6.572738767	5.896896266	5.41881	5.980691268	7.153548767	6.517773093	4.877227499	6.090685195	6.16408	6.078183754	6.35923	6.961888688	5.527016476	6.088400581	5.299030581	5.363286139	3.963017227	6.04849155	5.714125663	6.375900672	7.444381905	5.210960848	7.192627338	6.167350593	5.0339	5.75186	5.994953348	6.278702759	6.927196176	6.265727379	6.06008207	6.218700581	4.803978934	5.770876346	5.88088314	6.032387379	6.286036476	5.341530848	6.48604147	6.891591733	5.912587227	6.204233093	6.641895735	6.15285147	7.597653349	7.028053754	4.337116176	6.630201905	6.447445663	6.756716999	6.38307	6.94247147	6.467755254	6.573181268	6.819703689	5.222340672	5.03511	5.330175254	7.096391503	6.120901268	6.338748852	6.26013	7.328307338	7.019825663	7.802668688	6.413386472	7.251088852	6.770597338
DKK3	4.19165207	7.319148767	3.169114185	4.53402155	3.440304234	5.677692953	4.514763093	5.080341684	3.553837227	5.61196	6.74815	3.840176139	5.462240848	5.569476176	8.453348688	5.057335195	2.915396476	6.76318957	4.795108377	6.29874	5.156799649	5.62021	4.759203689	3.595828852	5.446551684	4.78633619	4.001774107	4.559408934	2.850857379	4.149843689	4.640286999	5.693118767	4.033486266	3.4018	6.574351268	7.123398767	2.262833093	3.950877499	5.238045195	4.59568	3.661673754	4.55361	6.771438688	4.495426476	4.493160581	2.764220581	4.796046139	2.982007227	5.19054155	3.592045663	3.883980672	5.507841905	4.157250848	4.955677338	4.232340593	2.5093	3.48933	3.332583348	3.614212759	6.091516176	5.974897379	2.76865207	3.697120581	6.056658934	4.772576346	4.41787314	7.582157379	2.823876476	4.801550848	5.53199147	3.618061733	5.484177227	3.642163093	5.288605735	5.32991147	5.618583349	5.069223754	2.561686176	4.955951905	2.821005663	0.915216999	5.03495	3.03519147	4.817455254	3.274991268	3.154873689	3.086240672	5.20842	3.442995254	5.057131503	5.939081268	5.766078852	3.34193	6.528617338	6.073365663	8.211378688	3.795816472	5.700018852	4.811187338
SPINT2	4.37412207	5.556138767	4.203424185	5.50912155	3.275834234	4.823702953	3.639603093	3.736001684	4.279877227	3.78214	4.25966	4.442096139	4.416240848	4.317226176	7.199838688	3.354085195	2.545696476	4.94482957	4.801578377	3.28742	4.245649649	3.88183	4.800053689	3.683928852	4.200931684	5.68554619	4.774914107	4.056308934	2.479797379	3.551673689	4.099536999	3.332618767	4.445666266	2.70461	2.950941268	4.756788767	2.888713093	2.496917499	3.175405195	3.74796	3.179893754	3.87669	6.304578688	3.627796476	3.861830581	2.678690581	3.646456139	1.269847227	3.76670155	3.304875663	4.188000672	4.412161905	3.383410848	5.305087338	4.463400593	2.43463	3.59543	3.745623348	4.210412759	4.898266176	4.646517379	4.34409207	4.637820581	3.775778934	3.646176346	2.65439314	3.136997379	3.385066476	3.369450848	4.48560147	5.135181733	4.749307227	4.077763093	3.960875735	4.43775147	4.798163349	4.625703754	1.527446176	4.846761905	2.976855663	2.913386999	3.39339	3.79740147	3.132585254	4.147301268	4.057883689	1.942770672	1.70156	2.106765254	5.324361503	4.275691268	3.005618852	3.39778	4.511527338	4.486045663	6.079018688	3.526936472	4.671448852	3.610797338
APP	5.72004207	5.961058767	4.428554185	4.27062155	4.436534234	5.271182953	4.902053093	4.346871684	4.792027227	5.76626	5.23623	4.426386139	4.424320848	5.224046176	6.868798688	5.734595195	4.961976476	5.53822957	4.595608377	4.86878	5.288829649	5.49766	4.644773689	5.887008852	5.184271684	5.04811619	3.843594107	4.652308934	2.572317379	5.420913689	4.567196999	6.414538767	5.287736266	4.80848	5.590291268	4.810098767	3.617023093	3.508017499	6.408755195	4.63389	4.384293754	5.17541	6.166898688	4.032946476	4.521460581	3.692270581	5.410916139	3.711057227	4.54897155	3.066175663	4.408280672	4.516951905	3.283220848	5.072037338	4.645480593	3.95198	3.8278	3.732553348	4.536542759	5.774856176	5.706047379	4.47571207	4.036280581	5.243808934	3.916306346	4.63724314	6.502087379	2.648186476	4.649590848	4.70030147	4.040161733	4.200777227	4.092103093	4.657485735	5.21108147	6.114053349	5.782073754	2.905596176	5.100691905	4.555105663	2.997526999	5.11985	3.98091147	3.864275254	3.308821268	5.001983689	1.970800672	1.62254	5.234815254	5.148961503	5.788911268	5.624108852	3.28459	6.078047338	5.452325663	5.680238688	4.395436472	4.853788852	4.861907338
HAVCR2	1.15108207	2.893358767	0.600364185	3.19037155	2.267464234	4.846422953	3.668183093	1.326291684	0.653597227	2.60682	1.71555	4.269786139	2.753560848	3.226896176	8.005108688	2.188775195	1.449096476	4.33827957	5.170288377	1.26646	3.498219649	3.80315	4.288853689	1.232228852	2.277751684	4.70134619	3.151654107	3.686298934	1.665077379	1.767553689	3.152176999	2.809848767	3.803756266	1.61452	2.205831268	4.670918767	2.650563093	1.009517499	1.846515195	2.05251	3.233553754	1.24425	6.885188688	1.375386476	2.500560581	3.110600581	3.189416139	-0.074952773	2.18004155	2.257745663	3.152010672	3.720471905	2.561830848	4.295897338	2.315640593	0.89586	1.96051	1.756683348	3.466352759	3.563756176	1.732637379	3.21905207	2.920590581	2.659008934	3.296846346	2.15549314	2.444817379	0.974276476	3.648220848	3.02508147	1.882731733	2.206907227	2.110663093	3.185665735	2.21910147	1.924493349	3.068003754	0.824536176	5.141581905	0.678905663	-0.285123001	1.94223	3.29584147	1.420385254	2.455431268	2.383603689	1.345510672	1.66739	0.383615254	5.102851503	2.924921268	2.463778852	1.06765	4.610247338	4.268935663	7.529028688	1.992456472	2.632678852	2.943017338
TMSB10	6.19790207	7.095998767	3.144294185	6.78986155	6.219674234	5.879812953	6.349853093	5.754331684	2.755017227	6.48333	6.03951	6.075436139	6.387530848	7.538466176	8.132998688	5.854735195	2.906006476	6.12887957	4.727208377	5.72366	6.349309649	6.44443	6.675513689	4.320518852	6.335021684	6.07895619	6.021204107	6.606338934	4.707117379	4.632843689	6.203586999	7.189868767	4.069096266	5.19681	6.801571268	6.993778767	4.334023093	4.894177499	6.493785195	5.43028	6.218903754	5.92707	6.106568688	5.741956476	4.773640581	6.763450581	6.113566139	3.460947227	5.30960155	5.562535663	5.938600672	5.369131905	5.479890848	6.349687338	5.630740593	5.22503	5.98187	4.630633348	6.127692759	6.640966176	5.883347379	5.43925207	5.056270581	5.965108934	5.146916346	5.87233314	6.260387379	3.849786476	5.904550848	6.11777147	4.986521733	6.023927227	4.668343093	6.319205735	6.16861147	6.557813349	6.020283754	5.299126176	5.530771905	3.354815663	2.914016999	5.70934	6.44706147	6.012345254	5.409911268	5.850403689	4.924300672	6.61996	1.970455254	5.446861503	6.170131268	6.316798852	2.90952	6.546557338	6.813665663	5.931358688	5.034486472	6.477168852	6.035587338
ANGPTL4	4.10608207	4.657498767	0.928484185	3.50231155	4.153754234	6.289892953	4.735183093	2.585261684	2.518467227	4.235	1.96866	4.608276139	2.010560848	5.078756176	6.424588688	1.536245195	3.046596476	4.57493957	1.582898377	2.18508	4.109359649	4.9829	4.151343689	2.126478852	2.407661684	2.48462619	1.261494107	4.037148934	1.172447379	2.849673689	4.784066999	3.543408767	4.388426266	1.91882	3.505441268	3.780258767	2.619503093	2.821217499	3.386345195	3.03737	3.715933754	2.92112	4.803748688	1.672796476	3.029090581	4.841570581	4.304366139	1.117637227	4.32099155	4.221695663	2.504910672	3.202891905	2.042740848	2.826787338	2.678840593	1.19685	2.03833	3.898383348	5.564762759	3.727496176	3.358597379	3.37241207	2.194790581	3.187868934	2.577176346	3.40134314	3.607327379	3.290006476	1.610790848	2.99207147	3.298521733	1.945587227	2.659933093	5.422755735	3.80644147	3.890663349	4.628533754	3.431886176	3.944341905	2.911055663	1.089616999	2.51842	6.22387147	4.930585254	4.132961268	5.550143689	5.028230672	0.69996	1.077865254	3.329511503	5.923621268	4.964318852	2.34072	8.433557338	5.958255663	4.188418688	2.464996472	4.961618852	2.852517338
INHBC	0.84585207	0.969548767	0.413984185	0.54611155	0.740864234	0.586322953	0.450943093	-0.112558316	0.640257227	0.54227	0.0	0.812796139	0.465230848	1.840926176	2.229628688	0.624445195	1.174266476	0.80817957	0.260138377	0.60593	1.164039649	0.84488	0.788043689	0.997078852	0.382851684	1.20532619	-0.210025893	0.058578934	0.0	1.080223689	0.141996999	0.748678767	0.684446266	0.2352	0.339741268	0.680658767	1.240893093	0.718407499	0.253755195	0.2056	0.206523754	0.62054	0.896918688	0.0	0.175940581	0.481100581	-0.176373861	-0.079612773	0.36690155	0.522075663	0.153390672	0.664521905	0.054620848	0.517657338	-0.242079407	0.42667	0.1879	0.246493348	0.770552759	0.510456176	0.367197379	-0.15753793	0.503060581	-0.065941066	0.555026346	0.16588314	0.513697379	0.064666476	0.073000848	0.19825147	0.815241733	0.249187227	0.164013093	0.517945735	0.04857147	1.398673349	0.312633754	0.0	0.736931905	0.187035663	-0.167233001	0.68157	0.77671147	0.872585254	0.443841268	0.843163689	0.878190672	0.10822	0.812975254	0.346681503	0.459601268	-0.126471148	0.27537	1.543687338	0.871155663	1.125258688	0.495056472	0.424978852	0.489507338
SPINK1	1.62096207	0.987508767	0.690914185	1.67003155	6.572644234	1.424882953	1.013713093	0.449891684	0.322917227	0.59674	0.56449	1.214466139	0.708350848	1.552376176	3.187778688	0.373555195	1.296156476	2.03923957	0.251558377	0.59712	0.683809649	1.18265	0.700123689	0.797058852	0.320261684	0.23759619	0.082574107	0.095318934	0.642857379	1.217403689	0.298336999	0.992178767	2.132646266	0.58733	1.220891268	1.131808767	0.603763093	0.540447499	0.195555195	0.43467	0.174683754	0.7111	1.273158688	0.085506476	0.424360581	2.416080581	0.831356139	0.254937227	0.28013155	0.340075663	0.399950672	0.493091905	0.206250848	0.654397338	-0.058739407	0.55122	0.22704	0.371153348	0.831842759	0.651906176	0.999477379	0.07033207	0.590320581	-0.196471066	0.590076346	0.07856314	0.837987379	0.322136476	0.309700848	-0.11791853	0.999281733	0.236367227	0.240083093	0.603915735	0.44514147	1.201863349	0.280303754	0.040666176	0.685131905	0.013505663	0.064256999	0.57827	0.38843147	1.847635254	0.250171268	0.501163689	0.366040672	0.44789	0.401625254	0.152891503	0.513621268	1.171208852	0.29765	1.044667338	0.997735663	1.612988688	0.382236472	0.185418852	0.438547338
CLEC11A	3.93447207	6.969678767	4.199934185	6.05474155	2.915384234	5.163142953	6.095053093	4.035231684	2.739097227	7.49303	0.48083	5.122216139	4.504440848	6.378816176	9.140228688	4.573845195	5.585066476	8.02437957	4.427688377	5.07903	6.671939649	6.13171	5.378753689	4.296798852	3.895381684	4.94936619	1.691634107	5.063048934	0.365927379	4.162793689	3.515966999	5.584148767	1.531816266	1.62243	5.552451268	4.314608767	3.120483093	2.890627499	3.974235195	3.73969	4.435293754	4.59031	6.675448688	0.492226476	3.798070581	5.432570581	6.884676139	2.872137227	5.88585155	4.869065663	5.074270672	6.819961905	3.143960848	6.840677338	5.812720593	4.4705	4.26627	5.007353348	7.543672759	6.778476176	6.455807379	6.24294207	5.988460581	2.375618934	5.021976346	4.22403314	5.911507379	3.343236476	2.276560848	3.92958147	4.574361733	4.037417227	4.406993093	6.046715735	5.60110147	7.576843349	6.647543754	6.241716176	5.872321905	6.222275663	2.423706999	5.33413	5.03291147	6.841455254	4.722771268	4.097833689	3.745420672	2.61218	6.439175254	7.511501503	6.871231268	4.717608852	5.4255	8.168197338	8.431865663	7.558008688	5.053766472	5.623708852	6.541437338
PDGFRB	2.75841207	3.774388767	2.954414185	3.31257155	1.368094234	3.192412953	2.436593093	1.649251684	3.685287227	2.36596	2.48287	3.377146139	3.565340848	3.775546176	6.243208688	1.682235195	1.925106476	3.03305957	1.712418377	2.39826	2.578759649	2.44419	2.180683689	2.213028852	2.687301684	4.15791619	1.570844107	2.997748934	1.109197379	2.796683689	1.183196999	2.177088767	2.000316266	1.67521	1.811591268	2.927528767	1.164003093	1.493947499	1.914525195	1.78828	1.484663754	2.16332	3.523318688	1.475206476	2.194770581	0.870160581	1.813836139	0.726697227	1.75634155	2.229135663	2.012800672	3.236711905	1.890860848	3.292377338	1.880420593	1.2182	2.3194	1.723863348	2.241452759	2.794106176	1.930327379	1.79230207	2.346680581	0.669408934	2.303016346	1.45997314	1.969387379	2.187816476	1.486230848	1.76853147	2.437881733	2.089547227	1.856833093	2.280285735	1.91338147	2.912063349	3.220243754	0.605496176	2.018981905	2.305595663	2.542546999	2.07315	0.54559147	2.216405254	2.471311268	2.036953689	1.141950672	1.6428	1.488075254	3.563721503	2.373071268	1.638228852	2.32446	3.677717338	2.740005663	4.495978688	2.233886472	2.976588852	2.238867338
COCH	9.02385207	6.077538767	4.124364185	4.73876155	2.101204234	2.747072953	2.009113093	2.089181684	4.072467227	3.00689	3.9013	3.889666139	3.361040848	5.960116176	6.104198688	3.123885195	3.391226476	6.30742957	2.293898377	3.60399	2.140599649	4.15486	4.713113689	3.973868852	4.710231684	2.38314619	1.881864107	3.978128934	1.417827379	4.696633689	2.147176999	3.818618767	8.872126266	2.25107	2.721101268	4.198888767	3.693923093	2.711827499	2.349605195	2.4495	1.219403754	4.9793	5.170328688	1.038386476	5.262790581	2.671340581	4.819796139	0.939667227	3.03044155	5.533725663	2.201630672	2.280301905	2.463570848	3.036607338	3.775630593	1.38575	1.33097	3.519773348	4.525282759	7.181116176	3.646477379	4.68166207	7.461750581	0.581218934	4.593786346	2.86515314	3.441177379	2.993096476	0.572070848	4.46908147	5.469211733	4.121257227	3.440833093	5.238055735	3.15508147	6.301533349	3.634443754	1.517056176	3.119171905	1.985505663	2.977356999	2.76547	2.53517147	3.716805254	3.314101268	4.482803689	3.750010672	1.2509	2.297025254	5.848971503	3.082431268	3.274838852	6.65652	3.567747338	6.320655663	7.609258688	3.635076472	6.414878852	4.908457338
FCRL5	0.95553207	0.749938767	0.0	0.54531155	0.185654234	0.050842953	0.0	0.0	0.010077227	0.37495	0.0	0.612166139	0.367310848	1.312236176	2.658708688	-0.103474805	0.0	0.57662957	-0.295591623	0.39389	0.820209649	0.24948	0.659903689	0.0	0.209631684	0.57401619	-0.279515893	-0.114381066	0.140537379	1.224773689	0.0	0.558348767	0.411696266	0.13163	0.0	0.614948767	0.730393093	0.0	0.0	0.0	-0.192966246	0.33668	1.614258688	0.0	0.476410581	0.274510581	1.042046139	0.0	0.24706155	0.441265663	0.354980672	-0.215118095	0.0	0.493797338	0.047920593	0.0	0.0	0.0	0.542192759	0.425106176	0.154387379	-0.05064793	1.009430581	0.0	0.642066346	0.0	0.167177379	-0.125583524	0.0	0.0	0.574411733	0.437327227	0.236493093	0.495175735	-0.12378853	1.003553349	0.329373754	0.0	-0.016118095	0.0	-0.204363001	0.17113	0.44329147	1.209855254	0.190411268	0.521983689	0.643860672	0.0	0.427515254	1.104531503	0.150171268	0.0	0.25503	1.611207338	0.598475663	2.378248688	0.169256472	0.445068852	1.173457338
PILRA	5.82122207	5.240848767	4.737124185	5.58976155	5.633834234	6.385282953	6.253693093	5.759211684	4.254707227	5.25137	4.52678	5.155296139	6.105760848	4.899906176	8.763508688	5.264705195	4.485256476	6.74191957	5.761708377	3.16734	6.701859649	4.94525	6.701823689	5.148888852	4.039291684	6.07325619	5.516494107	6.221198934	3.607287379	4.089573689	4.603076999	6.168078767	5.407716266	4.36946	4.841171268	6.334868767	3.695343093	4.683227499	5.826805195	5.87573	5.944853754	4.16955	7.271958688	4.138266476	4.707210581	5.213060581	5.295056139	3.850567227	5.65549155	4.628865663	6.101050672	5.717491905	5.187710848	6.183957338	5.887400593	5.02155	6.14356	4.794043348	6.100342759	6.289146176	5.646237379	6.21141207	5.600890581	6.014178934	5.341646346	3.85623314	6.132567379	4.456556476	5.690680848	5.27608147	5.756471733	6.186097227	5.529333093	6.183795735	4.34014147	5.462573349	6.521683754	4.669656176	6.805901905	5.385955663	3.044406999	5.74505	5.31556147	4.953435254	5.662371268	5.235113689	3.641110672	3.90693	3.587885254	6.440811503	6.353891268	5.623568852	4.63106	6.879077338	7.971105663	7.259918688	5.125756472	5.752108852	6.358917338
B4GALT1	1.54067207	1.522648767	0.796794185	0.76412155	0.171754234	0.392472953	0.813043093	0.303951684	0.388807227	0.81675	0.19183	0.369486139	0.620230848	1.326736176	2.851558688	0.348045195	1.479546476	0.71942957	0.205698377	0.72954	1.533149649	1.00915	0.756013689	0.919388852	0.715481684	1.27320619	0.341294107	0.475978934	0.679497379	1.331613689	-0.103593001	1.005928767	0.343486266	0.35859	0.476321268	0.711908767	0.377383093	0.957397499	0.673365195	0.50708	0.261923754	0.57631	1.095148688	0.152836476	0.721050581	0.510490581	0.168486139	0.126547227	0.60440155	0.831735663	0.495890672	1.470481905	0.382950848	0.612427338	-0.112029407	0.26604	0.24965	0.602213348	0.927302759	0.379856176	0.651647379	0.24599207	0.860790581	0.099088934	0.487756346	0.06449314	0.770827379	0.153036476	0.405460848	0.25901147	0.832851733	0.068987227	0.636423093	0.784315735	0.34833147	1.282993349	0.243883754	0.167716176	0.465071905	0.279635663	0.124476999	0.53025	0.76622147	1.206745254	0.230231268	0.682203689	0.494280672	0.40976	0.716075254	1.303331503	0.973901268	0.221258852	0.4636	1.784977338	1.211445663	1.217088688	0.509046472	0.426598852	0.676187338
CD300LG	2.00046207	1.488918767	0.701844185	1.50810155	1.991014234	1.228602953	1.763513093	0.748731684	0.421247227	0.41813	0.45717	1.121666139	0.406320848	1.691756176	2.635718688	0.620825195	1.167946476	1.70826957	0.103378377	0.26815	0.979829649	1.39438	1.038503689	0.795578852	0.550331684	0.37285619	0.318764107	0.385738934	0.420437379	1.374893689	0.864656999	0.953088767	2.178616266	0.35424	1.236341268	1.178548767	0.591183093	1.054607499	0.669705195	0.32117	0.829123754	0.58402	1.257138688	0.012636476	0.654390581	2.345610581	1.050016139	0.0	0.55365155	0.814865663	0.075410672	1.147731905	0.048030848	0.652687338	-0.016009407	0.62163	0.67456	0.313593348	1.075552759	0.861566176	0.874927379	0.09696207	0.576980581	0.366198934	0.745916346	0.79814314	1.405077379	0.434826476	0.188800848	0.41253147	0.592521733	0.431127227	0.207013093	1.181685735	0.65965147	1.095903349	0.742093754	0.880096176	1.305951905	-0.019544337	-0.281943001	0.54713	0.57630147	2.440465254	0.549501268	0.513033689	1.402370672	0.53833	0.572545254	1.266741503	1.308721268	2.310088852	0.38864	1.836247338	1.458785663	1.607398688	0.467316472	0.429168852	0.390347338
